x,y,color,label
33.822219843698164,91.48981128052566,#1f77b4,a
28.17705692863969,90.74662356431651,#1f77b4,a
29.785883189316245,91.9192235170882,#1f77b4,a
29.090446136503846,88.07383811329356,#1f77b4,a
39.05374374186651,94.43821162159497,#1f77b4,a
42.841903120425414,101.15320424312699,#1f77b4,a
50.75130978026542,109.63801034479707,#1f77b4,a
62.98433262321019,134.0714105998315,#1f77b4,a
69.54849501260287,146.13795253160595,#1f77b4,a
83.86815217056328,164.53939399587313,#1f77b4,a
88.3750810115274,177.60793556247688,#1f77b4,a
91.29636419786095,185.76879398646702,#1f77b4,a
91.77401192727103,191.83132886098383,#1f77b4,a
98.08280972636479,205.6879259828865,#1f77b4,a
109.21549078996262,221.66773869094976,#1f77b4,a
116.38925150979331,232.91673388289433,#1f77b4,a
124.00128303540816,243.35958407914694,#1f77b4,a
125.78029974856084,246.9051818677841,#1f77b4,a
130.97209852200174,255.19888033870544,#1f77b4,a
142.14300681687928,256.50754341747415,#1f77b4,a
141.53651859573253,264.7065959674493,#1f77b4,a
145.1463015574271,264.6169689994658,#1f77b4,a
151.38507180723653,263.778826557619,#1f77b4,a
156.64275480595995,264.3829703445015,#1f77b4,a
163.2022595997732,267.88470549907146,#1f77b4,a
159.98268641551098,268.3274719456234,#1f77b4,a
169.3657876650019,267.99756063906716,#1f77b4,a
168.79533318754778,265.6961428241641,#1f77b4,a
168.47506523406489,270.4383955875438,#1f77b4,a
170.76038190069505,267.35050858272996,#1f77b4,a
175.28380303618837,263.5592190282996,#1f77b4,a
177.49395229079036,258.35135335884,#1f77b4,a
179.82355458995505,261.1508456740679,#1f77b4,a
187.7846996066834,250.75599576724719,#1f77b4,a
189.39873479946084,242.06830788274016,#1f77b4,a
192.3652868724019,236.15312840469454,#1f77b4,a
190.71661266380505,228.55843791096692,#1f77b4,a
194.92380494845648,227.13577770390594,#1f77b4,a
202.72775993814514,226.95218059564013,#1f77b4,a
199.47311994278877,221.50302140737801,#1f77b4,a
200.27011227514492,226.2715545022702,#1f77b4,a
198.59025564256754,218.67184614033823,#1f77b4,a
209.6686530769108,213.47546230589836,#1f77b4,a
212.12811659556283,214.37565892939313,#1f77b4,a
217.05879354382068,214.39823055840168,#1f77b4,a
215.0376304278116,210.61174675212527,#1f77b4,a
225.3263698260111,209.02422966344557,#1f77b4,a
228.25170226822328,207.1081346759159,#1f77b4,a
231.8265934452424,203.2358497683191,#1f77b4,a
238.6492763619334,203.06113777735817,#1f77b4,a
242.6624757520888,207.3068731413166,#1f77b4,a
254.33851627035264,201.84483952671815,#1f77b4,a
263.74458527050683,203.64059982394446,#1f77b4,a
265.5797213692661,207.87053566836403,#1f77b4,a
275.49780281181387,206.39283744207444,#1f77b4,a
282.3631064315282,213.19797501373154,#1f77b4,a
289.4463052445782,220.22640075751804,#1f77b4,a
291.1283974771997,229.39886518506842,#1f77b4,a
297.8046896708028,225.96869803471373,#1f77b4,a
302.6979967868053,235.78580552418566,#1f77b4,a
307.4229245186624,249.22171791846785,#1f77b4,a
308.5558924196265,253.75942359822903,#1f77b4,a
312.4296698210329,258.0427026621936,#1f77b4,a
317.5203341359775,266.0981401502204,#1f77b4,a
322.3108185521583,279.5727009184796,#1f77b4,a
335.273234564116,277.80934271685214,#1f77b4,a
337.1716518994848,287.57758808705074,#1f77b4,a
342.8096411468094,297.2683157851874,#1f77b4,a
346.8948378219472,291.9766719569751,#1f77b4,a
357.90018678590627,300.9401662645976,#1f77b4,a
365.6397094098116,302.04780635032375,#1f77b4,a
369.05910341550674,301.67630861381406,#1f77b4,a
373.90963035285523,299.8970466944578,#1f77b4,a
373.43073690648924,306.2279533974955,#1f77b4,a
374.5867247474216,304.19090625014235,#1f77b4,a
378.85386110829745,304.1235565798638,#1f77b4,a
378.7463191473368,297.408138207747,#1f77b4,a
387.39996473138206,286.6235092356236,#1f77b4,a
391.8802727477658,270.4940589213853,#1f77b4,a
400.2269075624791,260.67894511477675,#1f77b4,a
403.48157202479365,250.5215203679165,#1f77b4,a
409.99598419732314,241.7177938244871,#1f77b4,a
402.75780538519984,229.30870241998514,#1f77b4,a
411.6322812714228,207.296454143821,#1f77b4,a
418.89196076099233,206.03983680196245,#1f77b4,a
415.5048943693537,194.6128018166022,#1f77b4,a
419.0520797373232,187.11875493759658,#1f77b4,a
421.71573933234873,183.26028689441404,#1f77b4,a
431.70116532737853,173.45194987139104,#1f77b4,a
427.16647349422584,164.41111834302205,#1f77b4,a
428.75848807042235,161.5299539253386,#1f77b4,a
432.25048109692983,156.30069301704935,#1f77b4,a
434.915350730426,155.40833115888768,#1f77b4,a
431.4983395562543,153.1360812148418,#1f77b4,a
443.29018592165386,153.26263804444983,#1f77b4,a
447.27801168605674,157.73150331706506,#1f77b4,a
461.6577512253939,154.04750207618338,#1f77b4,a
492.96631745938913,157.90190270070002,#1f77b4,a
510.0005382895919,166.28432455734452,#1f77b4,a
520.5143040185733,170.94319255995373,#1f77b4,a
518.7198816307049,172.4659203890389,#1f77b4,a
521.7171356988409,177.6195193394746,#1f77b4,a
524.6132367856464,182.16168198141003,#1f77b4,a
539.1321434074548,183.81532944435514,#1f77b4,a
539.5212247884584,189.40240736445168,#1f77b4,a
547.4246962061173,196.1988063008326,#1f77b4,a
558.3220212481052,213.02739245670034,#1f77b4,a
562.3049287207813,219.7424492901594,#1f77b4,a
580.1918119416694,232.467198639255,#1f77b4,a
591.3393678431679,242.50364947585757,#1f77b4,a
605.2503710052549,255.01086587532205,#1f77b4,a
614.8754935493185,258.0420123166586,#1f77b4,a
614.5705441631687,257.6164855650143,#1f77b4,a
620.2420811634048,266.1134955957515,#1f77b4,a
627.1551848073631,265.2622432258647,#1f77b4,a
629.4975623372533,268.176387467342,#1f77b4,a
634.5598801961727,264.65730297224536,#1f77b4,a
633.2420483741809,264.13628156232926,#1f77b4,a
642.5464791599854,262.46815624190674,#1f77b4,a
643.4000174685609,252.44494735574418,#1f77b4,a
644.5745672874988,230.06802623988716,#1f77b4,a
648.255792579894,223.63438198124885,#1f77b4,a
653.6646766756489,213.11409415129646,#1f77b4,a
652.903760244718,205.7346655509706,#1f77b4,a
660.3047484019045,203.00524219670513,#1f77b4,a
663.7581167175802,200.61254885567644,#1f77b4,a
670.7928509639977,206.03554277270666,#1f77b4,a
670.5891354611321,198.6947001724334,#1f77b4,a
688.886368728444,196.52339901823564,#1f77b4,a
698.4767393387876,195.10326179014606,#1f77b4,a
706.2167343822001,199.09851065348238,#1f77b4,a
722.4833367759868,204.50339415682492,#1f77b4,a
733.0255152197429,201.72261709148285,#1f77b4,a
742.6634581798248,212.0208213024897,#1f77b4,a
752.9922076568776,212.29725700648447,#1f77b4,a
761.6797584623544,220.27963773517052,#1f77b4,a
781.9574714222025,217.00069882770595,#1f77b4,a
800.3479086205559,225.85378248285048,#1f77b4,a
811.1816179200429,223.46652536108087,#1f77b4,a
822.9452308012056,226.1222612445,#1f77b4,a
825.012322427299,224.46066815195485,#1f77b4,a
820.6360424483995,225.70518052929157,#1f77b4,a
